,Artist,Born,Born In,Years Active,Founded In,Died
0,Aya Nakamura,10 May 1995 (age 26),"Bamako, Mali",,,
0,Gambi,1999 (age 22),"Fontenay-sous-Bois, Val-de-Marne, Île-de-France, France",,,
0,Tones and I,1998 (age 23),"Shire of Mornington Peninsula, Victoria, Australia",,,
0,Heuss L'enfoiré,11 August 1992 (age 29),"Gennevilliers, Hauts-de-Seine, Île-de-France, France",,,
0,Gradur,28 November 1990 (age 30),"Roubaix, Nord, Hauts-de-France, France",,,
0,Sunday Service Choir,,,2019 – present (2 years),"Los Angeles, Los Angeles County, California, United States",
0,Julian Casablancas,23 August 1978 (age 43),"New York, New York, United States",,,
0,Calexico,,,1996 – present (25 years),"Tucson, Pima County, Arizona, United States",
0,Blind Melon,,,1989 – present (32 years),"Los Angeles, Los Angeles County, California, United States",
0,Deep Purple,,,1968 – present (53 years),"Hertford, Hertfordshire, England, United Kingdom",
0,Dawn Landes,5 December 1980 (age 40),"Louisville, Jefferson County, Kentucky, United States",,,
0,Feeder,,,1995 – present (26 years),"Newport, Wales, United Kingdom",
0,Josh Ritter,21 October 1976 (age 44),"Moscow, Latah County, Idaho, United States",,,
0,NEIKED,28 December 1991 (age 29),"Stockholm, Stockholm municipality, Stockholms län, Sweden",,,
0,Karen Dalton,19 July 1937,"Enid, Garfield County, Oklahoma, United States",,,19 March 1993 (aged 55)
0,暁テル子,21 January 1921,"Taitō, Tokyo, Japan",,,20 July 1962 (aged 41)
0,Middle Brother,,,2010 – present (11 years),,
0,Bic Runga,13 January 1976 (age 45),"Christchurch, Canterbury, South Island, New Zealand",,,
0,The Bobby Fuller Four,,,1961 – 1966 (5 years),"El Paso, El Paso County, Texas, United States",
0,Chill Bump,,,2011 – present (10 years),"Tours, Indre-et-Loire, Centre-Val de Loire, France",
0,The Struts,,,2010 – present (11 years),"Derby, England, United Kingdom",
0,Take A Daytrip,,,,"New York, New York, United States",
0,The Pogues,,,1982 – 2014 (32 years),"London, England, United Kingdom",
0,The English Beat,,,1979 – present (42 years),"Birmingham, West Midlands, England, United Kingdom",
0,Nena,24 March 1960 (age 61),"Hagen, Nordrhein-Westfalen, Germany",,,
0,Tones on Tail,,,1982 – 1984 (2 years),"Northampton, Northamptonshire, England, United Kingdom",
0,Pete Townshend,19 May 1945 (age 76),"Chiswick, Hounslow, London, England, United Kingdom",,,
0,Teenage Fanclub,,,1989 – present (32 years),"Bellshill, North Lanarkshire, Scotland, United Kingdom",
0,Ed Tullett,October 1993 (age 27),"Oxford, Oxfordshire, England, United Kingdom",,,
0,The War on Drugs,,,2005 – present (16 years),"Philadelphia, Philadelphia County, Pennsylvania, United States",
0,The Flaming Lips,,,1983 – present (38 years),"Oklahoma City, Oklahoma County, Oklahoma, United States",
0,The Maccabees,,,2004 – 2017 (13 years),"Brighton, Brighton and Hove, England, United Kingdom",
0,Jóhann Jóhannsson,19 September 1969,"Reykjavík, Höfuðborgarsvæðið, Iceland",,,9 February 2018 (aged 48)
0,Johann Pachelbel,1 September 1653,"Nuremberg, Bayern, Germany",,,3 March 1706 (aged 52)
0,Elvis Presley,8 January 1935,"Tupelo, Lee County, Mississippi, United States",,,16 August 1977 (aged 42)
0,guy fox,,,2012 – present (9 years),"San Francisco, California, United States",
0,Tropical Fuck Storm,,,2017 – present (4 years),"Melbourne, Victoria, Australia",
0,zack fox,6 December 1990 (age 30),"Atlanta, Fulton County, Georgia, United States",,,
0,Medslaus,,,,"New York, New York, United States",
0,Donnie & Joe Emerson,,,,"Fruitland, Stevens County, Washington, United States",
0,Mitch Murder,3 May 1979 (age 42),"Helsingborg, Helsingborg Municipality, Skåne, Sweden",,,
0,Pilotpriest,9 May 1977 (age 44),"Kitchener, Regional Municipality of Waterloo, Ontario, Canada",,,
0,Wojciech Golczewski,2 January 1980 (age 41),"Poznań, Wielkopolskie, Poland",,,
0,Augustana,,,2003 – present (18 years),"Greenville, Bond County, Illinois, United States",
0,Ecco2K,23 October 1994 (age 26),"London, England, United Kingdom",,,
0,Ecco2k,23 October 1994 (age 26),"London, England, United Kingdom",,,
0,The Drifters,,,1953 – present (68 years),"New York, New York, United States",
0,The Black Eyed Peas,,,1995 – present (26 years),"Los Angeles, Los Angeles County, California, United States",
0,Lando Chill,,"Chicago, Cook County, Illinois, United States",,,
0,Lissie,21 November 1982 (age 38),"Rock Island, Rock Island County, Illinois, United States",,,
0,Ultimate Spinach,,,1967 – 1969 (2 years),"Boston, Suffolk County, Massachusetts, United States",
0,Michael Martin Murphey,14 March 1945 (age 76),"Dallas, Dallas County, Texas, United States",,,
0,Two Feet,20 June 1993 (age 28),"Manhattan, New York, New York, United States",,,
0,Conan Gray,5 December 1998 (age 22),"San Diego, Duval County, Texas, United States",,,
0,Keys N Krates,,,2008 – present (13 years),"Toronto, Ontario, Canada",
0,The Shouting Matches,,,2006 – present (15 years),,
0,Delta Spirit,,,2005 – present (16 years),"San Diego, San Diego County, California, United States",
0,The Handsome Family,,,1993 – present (28 years),"Chicago, Cook County, Illinois, United States",
0,Mumford & Sons,,,2007 – present (13 years),"London, England, United Kingdom",
0,Cat Power,21 January 1972 (age 49),"Atlanta, Fulton County, Georgia, United States",,,
0,George Michael,25 June 1963,"East Finchley, Barnet, London, England, United Kingdom",,,25 December 2016 (aged 53)
0,Tokyo Police Club,,,2005 – present (16 years),"Newmarket, Regional Municipality of York, Ontario, Canada",
0,Whitney Houston,9 August 1963,"Newark, Essex County, New Jersey, United States",,,11 February 2012 (aged 48)
0,Cannonball Adderley,15 September 1928,"Tampa, Hillsborough County, Florida, United States",,,8 August 1975 (aged 46)
0,Herbie Hancock,12 April 1940 (age 81),"Chicago, Cook County, Illinois, United States",,,
0,Lou Donaldson,1 November 1926 (age 94),"Badin, Stanly County, North Carolina, United States",,,
0,Art Blakey,11 October 1919,"Pittsburgh, Allegheny County, Pennsylvania, United States",,,16 October 1990 (aged 71)
0,Big Black,,,1982 – 1987 (5 years),"Evanston, Cook County, Illinois, United States",
0,Liquid Liquid,,,1980 – 1983 (3 years),"New York, New York, United States",
0,Lord Apex,12 July 1996 (age 25),"White City, Shepherd's Bush, Hammersmith and Fulham, London, England, United Kingdom",,,
0,Baron,,,2010 – present (10 years),,
0,Ploho,,,2013 – present (8 years),"Novosibirsk, Novosibirskaya oblast', Russian Federation",
0,Перемотка,,,2015 – present (6 years),"Yekaterinburg, Sverdlovskaya oblast', Russian Federation",
0,Human Tetris,,,2008 – present (12 years),"Moskva, Russian Federation",
0,Supernova 1006,,,2014 – present (7 years),,
0,Brandenburg,,,2010 – present (11 years),"Moskva, Russian Federation",
0,Betty Wright,21 December 1953,"Miami, Miami-Dade County, Florida, United States",,,10 May 2020 (aged 66)
0,Harold Melvin & The Blue Notes,,,1960 – 1996 (36 years),"Philadelphia, Philadelphia County, Pennsylvania, United States",
0,Duke Ellington,29 April 1899,"Washington, D.C., United States",,,24 May 1974 (aged 75)
0,PENTAGON,,,2016 – present (4 years),"Seoul, Korea, Republic of",
0,Cate Le Bon,4 March 1983 (age 38),"Penboyr, Carmarthenshire, Wales, United Kingdom",,,
0,The Raincoats,,,1977 – present (44 years),"London, England, United Kingdom",
0,Mo-Dettes,,,1979 – 1982 (3 years),,
0,Nels Cline,4 January 1956 (age 65),"Los Angeles, Los Angeles County, California, United States",,,
0,Delta 5,,,1979 – 1981 (2 years),,
0,Shoreline Mafia,,,2016 – present (5 years),"Los Angeles, Los Angeles County, California, United States",
0,The Rah Band,,,1977 – present (44 years),,
0,French Kicks,,,1998 – present (23 years),"Brooklyn, New York, New York, United States",
0,X Ambassadors,,,2008 – present (12 years),"Brooklyn, New York, New York, United States",
0,Reo Cragun,,"Vancouver, Clark County, Washington, United States",,,
0,88-Keys,3 March 1976 (age 45),"Long Island City, Queens, New York, New York, United States",,,
0,Dear and the Headlights,,,2005 – 2011 (6 years),"Tempe, Maricopa County, Arizona, United States",
0,Pacific Air,,,2012 – 2014 (2 years),"Santa Ana, Orange County, California, United States",
0,Roberta Flack,10 February 1937 (age 84),"Black Mountain, Buncombe County, North Carolina, United States",,,
0,America,,,1970 – present (51 years),"London, England, United Kingdom",
0,10cc,,,1972 – present (49 years),"Stockport, Stockport, Greater Manchester, England, United Kingdom",
0,Marvin Gaye,2 April 1939,"Washington, D.C., United States",,,1 April 1984 (aged 44)
0,Junior Murvin,1949,"Saint James, Jamaica",,,2 December 2013 (aged 64)
0,Bill Withers,4 July 1938,"Slab Fork, Raleigh County, West Virginia, United States",,,30 March 2020 (aged 81)
0,Talking Heads,,,1974 – 1991 (17 years),"New York, New York, United States",
0,Carole King,9 February 1942 (age 79),"Manhattan, New York, New York, United States",,,
0,Donny Hathaway,1 October 1945,"Chicago, Cook County, Illinois, United States",,,13 January 1979 (aged 33)
0,Steely Dan,,,1972 – present (49 years),"Annandale-on-Hudson, Dutchess County, New York, United States",
0,Gerry Rafferty,16 April 1947,"Paisley, Renfrewshire, Scotland, United Kingdom",,,4 January 2011 (aged 63)
0,The Cure,,,1977 – present (44 years),"Crawley, West Sussex, England, United Kingdom",
0,King Harvest,,,1970 – present (51 years),"Paris, Île-de-France, France",
0,Spiderbait,,,1990 – present (31 years),,
0,Foals,,,2005 – present (16 years),"Oxford, Oxfordshire, England, United Kingdom",
0,Zero 7,,,1997 – present (24 years),"London, England, United Kingdom",
0,Turnover,,,2009 – present (12 years),"Virginia Beach, Virginia, United States",
0,Field Medic,2 May 1991 (age 30),,,,
0,Show Me the Body,,,2012 – present (9 years),,
0,Horace Silver,2 September 1928,"Norwalk, Fairfield County, Connecticut, United States",,,18 June 2014 (aged 85)
0,Overcoats,,,2014 – present (6 years),,
0,The Doobie Brothers,,,1970 – present (51 years),"San Jose, Santa Clara County, California, United States",
0,Harrison Storm,,"Shire of Mornington Peninsula, Victoria, Australia",,,
0,Roma Di Luna,,,2004 – present (17 years),,
0,Jane's Addiction,,,1986 – present (35 years),"Los Angeles, Los Angeles County, California, United States",
0,Brenton Wood,26 July 1941 (age 80),"Shreveport, Caddo Parish, Louisiana, United States",,,
0,The Skyliners,,,1959 – present (62 years),"Pittsburgh, Allegheny County, Pennsylvania, United States",
0,Dion & The Belmonts,,,1957 – 1966 (9 years),"The Bronx, New York, New York, United States",
0,Bobby Vinton,16 April 1935 (age 86),"Canonsburg, Washington County, Pennsylvania, United States",,,
0,The Flamingos,,,1953 – present (68 years),"Chicago, Cook County, Illinois, United States",
0,Rosie & The Originals,,,1960 – 1973 (13 years),"San Diego, San Diego County, California, United States",
0,Devonte Hynes,23 December 1985 (age 35),"Ilford, Redbridge, London, England, United Kingdom",,,
0,Louis The Child,,,2012 – present (9 years),"Chicago, Cook County, Illinois, United States",
0,Weslee,,,2016 – present (5 years),,
0,David Gilmour,6 March 1946 (age 75),"Cambridge, Cambridgeshire, England, United Kingdom",,,
0,"Albert Hammond, Jr.",9 April 1980 (age 41),"Los Angeles, Los Angeles County, California, United States",,,
0,Swans,,,1982 – present (39 years),"New York, New York, United States",
0,The Brother Brothers,,,,"Brooklyn, New York, New York, United States",
0,Phony Ppl,,,2010 – present (11 years),"Brooklyn, New York, New York, United States",
0,Joy Williams,1982 (age 39),,,,
0,Peter Bradley Adams,,"Birmingham, Jefferson County, Alabama, United States",,,
0,Donovan Woods,1980 (age 41),"Sarnia, Lambton County, Ontario, Canada",,,
0,Holly Throsby,28 December 1978 (age 42),"Sydney, New South Wales, Australia",,,
0,Craig Cardiff,9 July 1976 (age 45),"Waterloo, Regional Municipality of Waterloo, Ontario, Canada",,,
0,Mipso,,,2010 – present (11 years),"Chapel Hill, Orange County, North Carolina, United States",
0,Rosie Carney,13 January 1997 (age 24),"Hampshire, England, United Kingdom",,,
0,Congo Natty,27 August 1965 (age 56),"London, England, United Kingdom",,,
0,Mando Diao,,,1999 – present (22 years),"Borlänge, Borlänge Municipality, Dalarna, Sweden",
0,Band of Horses,,,2004 – present (17 years),"Seattle, King County, Washington, United States",
0,Frank Black,6 April 1965 (age 56),"Boston, Suffolk County, Massachusetts, United States",,,
0,Franz Ferdinand,,,2001 – present (20 years),"Glasgow, Scotland, United Kingdom",
0,Hoops,,,2011 – present (10 years),"Bloomington, Monroe County, Indiana, United States",
0,Pizzagirl,1 January 2018 (age 3),"Liverpool, Merseyside, England, United Kingdom",,,
0,Frank Sinatra,12 December 1915,"Hoboken, Hudson County, New Jersey, United States",,,14 May 1998 (aged 82)
0,The Durutti Column,,,1978 – present (43 years),"Manchester, Greater Manchester, England, United Kingdom",
0,Gil Scott-Heron,1 April 1949,"Chicago, Cook County, Illinois, United States",,,27 May 2011 (aged 62)
0,Arthur Russell,21 May 1951,"Oskaloosa, Mahaska County, Iowa, United States",,,4 April 1992 (aged 40)
0,Ray LaMontagne,18 June 1973 (age 48),"Nashua, Hillsborough County, New Hampshire, United States",,,
0,Better Oblivion Community Center,,,2019 – present (2 years),"Los Angeles, Los Angeles County, California, United States",
0,Marilyn Manson,5 January 1969 (age 52),"Canton, Stark County, Ohio, United States",,,
0,Sander van Doorn,28 February 1979 (age 42),"Eindhoven, Noord-Brabant, Netherlands",,,
0,Jhene Aiko,16 March 1988 (age 33),"Los Angeles, Los Angeles County, California, United States",,,
0,Hurray For The Riff Raff,,,2007 – present (14 years),"New Orleans, Louisiana, United States",
0,Tove Lo,29 October 1987 (age 33),"Stockholm, Stockholm municipality, Stockholms län, Sweden",,,
0,Gym Class Heroes,,,1997 – 2019 (22 years),"Geneva, Ontario County, New York, United States",
0,Austinlace,,,1997 – 2011 (14 years),"Nivelles, Brabant wallon, Wallonie, Belgium",
0,In the Valley Below,,,2011 – present (10 years),"Echo Park, Los Angeles, Los Angeles County, California, United States",
0,Seether,,,1999 – present (22 years),"Pretoria, Gauteng, South Africa",
0,The Goo Goo Dolls,,,1986 – present (35 years),"Buffalo, Erie County, New York, United States",
0,Sheryl Crow,11 February 1962 (age 59),"Kennett, Dunklin County, Missouri, United States",,,
0,Saybia,,,1993 – present (28 years),"Nyborg, Nyborg municipality, Region of Southern Denmark, Denmark",
0,Marcy Playground,,,1997 – present (24 years),,
0,Miles Davis Quartet,26 May 1926,"Alton, Madison County, Illinois, United States",,,28 September 1991 (aged 65)
0,Tim Buckley,14 February 1947,"Washington, D.C., United States",,,29 June 1975 (aged 28)
0,Girl Band,,,2011 – present (10 years),"Dublin, County Dublin, Leinster, Ireland",
0,Diogo Piçarra,19 October 1990 (age 30),"Faro, Faro, Portugal",,,
0,Hollow Coves,,,2013 – present (8 years),,
0,Boys Noize,22 August 1982 (age 39),"Hamburg, Germany",,,
0,Matt Corby,7 November 1990 (age 30),"Sydney, New South Wales, Australia",,,
0,Billy Bragg,20 December 1957 (age 63),"Barking, Barking and Dagenham, London, England, United Kingdom",,,
0,Bryce Dessner,23 April 1976 (age 45),"Cincinnati, Hamilton County, Ohio, United States",,,
0,Iannis Xenakis,29 May 1922,"Brăila, Brăila, Romania",,,4 February 2001 (aged 78)
0,Carpenters,,,1968 – 1983 (15 years),"Downey, Los Angeles County, California, United States",
0,Uncle Lucius,,,2005 – present (16 years),"Austin, Travis County, Texas, United States",
0,Norah Jones,30 March 1979 (age 42),"Bedford–Stuyvesant, Brooklyn, New York, New York, United States",,,
0,3rdcoast,,,2000 – present (21 years),,
0,Cass McCombs,13 November 1977 (age 43),"Concord, Contra Costa County, California, United States",,,
0,Todd Rundgren,22 June 1948 (age 73),"Upper Darby Township, Delaware County, Pennsylvania, United States",,,
0,Eric Whitacre,2 January 1970 (age 51),"Reno, Washoe County, Nevada, United States",,,
0,Vangelis,29 March 1943 (age 78),"Thessalia, Greece",,,
0,Terry Riley,24 June 1935 (age 86),"Colfax, Placer County, California, United States",,,
0,Richard Strauss,11 June 1864,"Munich, Bayern, Germany",,,8 September 1949 (aged 85)
